Solver	Executable.team	Problem	Instance	Exit-code	Exec-Status	Checker-out	Time(user+sys)	Memory-Usage	Time-Limit	Memory-Limit	Real	TrackFormula	Track	RESULT	SCORE	RESULT_IN_MARATHON	SCORE-MARATHON
idlv+-s	idlv+-s.competition.0.aspcomp	GracefulGraphs	0042-clique_path_4_6-56-1.asp	1	out of time	ECODE_INVALID_1	1200.99	130.5	1200	12288	1202.127	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.1.aspcomp	GracefulGraphs	0013-clique_clique_3_3-18-1.asp	20	complete	NOT_CHECKED	765.84	65.3	1200	12288	767.595	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.1.aspcomp	GracefulGraphs	0043-doughnut_3_7-42-1.asp	1	out of time	ECODE_INVALID_1	1200.07	125.5	1200	12288	1201.05	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.1.aspcomp	GracefulGraphs	0050-prism_7_3-35-1.asp	10	complete	OK	16.18	68.3	1200	12288	16.901	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.2.aspcomp	GracefulGraphs	0035-suspended_prism_5_4-55-1.asp	1	out of time	ECODE_INVALID_1	1200.2	123.6	1200	12288	1201.377	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.2.aspcomp	GracefulGraphs	0044-prism_6_3-30-1.asp	10	complete	OK	7.04	64.8	1200	12288	7.752	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.2.aspcomp	GracefulGraphs	0047-doughnut_4_6-48-1.asp	1	out of time	ECODE_INVALID_1	1200.33	155.7	1200	12288	1201.475	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.3.aspcomp	GracefulGraphs	0014-clique_clique_4_3-30-1.asp	10	complete	OK	145.05	68	1200	12288	146.42	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.3.aspcomp	GracefulGraphs	0024-suspended_prism_5_3-40-1.asp	10	complete	OK	547.85	80.7	1200	12288	549.408	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.3.aspcomp	GracefulGraphs	0059-prism_5_6-55-1.asp	1	out of time	ECODE_INVALID_1	1200.33	186.6	1200	12288	1201.614	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.4.aspcomp	GracefulGraphs	0020-double_cone_12-36-1.asp	10	complete	OK	16.56	69.6	1200	12288	17.252	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.4.aspcomp	GracefulGraphs	0048-triple_wheel_8-48-1.asp	10	complete	OK	126.18	101.2	1200	12288	127.623	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.5.aspcomp	GracefulGraphs	0001-quadruple_cone_5-25-1.asp	10	complete	OK	12.58	69.3	1200	12288	13.257	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.5.aspcomp	GracefulGraphs	0045-triple_wheel_7-42-1.asp	10	complete	OK	4.78	70.1	1200	12288	5.169	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.6.aspcomp	GracefulGraphs	0004-double_cone_6-18-1.asp	20	complete	NOT_CHECKED	87.91	64.2	1200	12288	89.225	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.6.aspcomp	GracefulGraphs	0022-suspended_prism_6_2-30-1.asp	1	out of time	ECODE_INVALID_1	1200.76	73	1200	12288	1201.854	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.7.aspcomp	GracefulGraphs	0026-suspended_prism_7_2-35-1.asp	10	complete	OK	132.49	64	1200	12288	133.69	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.7.aspcomp	GracefulGraphs	0038-clique_path_4_5-46-1.asp	1	out of time	ECODE_INVALID_1	1200.4	102.3	1200	12288	1201.529	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.0.aspcomp	IncrementalScheduling	0157-incremental_scheduling-17904-0.asp	20	complete	NOT_CHECKED	19.36	200	1200	12288	20.315	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.0.aspcomp	IncrementalScheduling	0185-incremental_scheduling-18456-0.asp	20	complete	NOT_CHECKED	36.1	215.5	1200	12288	37.455	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.0.aspcomp	IncrementalScheduling	0315-incremental_scheduling-48000-0.asp	1	out of time	ECODE_INVALID_1	1200.54	3379.2	1200	12288	1203.809	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.1.aspcomp	IncrementalScheduling	0020-incremental_scheduling-12820-0.asp	10	complete	OK	9.77	323.3	1200	12288	10.599	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.1.aspcomp	IncrementalScheduling	0113-incremental_scheduling-17280-0.asp	10	complete	OK	32.42	801.7	1200	12288	34.63	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.1.aspcomp	IncrementalScheduling	0320-incremental_scheduling-48000-0.asp	1	out of time	ECODE_INVALID_1	1200.49	3279.8	1200	12288	1202.374	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.2.aspcomp	IncrementalScheduling	0094-incremental_scheduling-14520-0.asp	10	complete	OK	28.89	437.2	1200	12288	30.508	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.2.aspcomp	IncrementalScheduling	0103-incremental_scheduling-18468-0.asp	20	complete	NOT_CHECKED	2.62	78.3	1200	12288	3.111	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.2.aspcomp	IncrementalScheduling	0321-incremental_scheduling-48000-0.asp	1	out of time	ECODE_INVALID_1	1200.2	2986.8	1200	12288	1202.532	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.3.aspcomp	IncrementalScheduling	0013-incremental_scheduling-12610-0.asp	10	complete	OK	6.46	182.8	1200	12288	7.236	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.3.aspcomp	IncrementalScheduling	0220-incremental_scheduling-28080-0.asp	10	complete	OK	72.98	1459.7	1200	12288	75.145	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.3.aspcomp	IncrementalScheduling	0322-incremental_scheduling-48000-0.asp	1	out of time	ECODE_INVALID_1	1201.09	3635	1200	12288	1204.874	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.4.aspcomp	IncrementalScheduling	0070-incremental_scheduling-14520-0.asp	10	complete	OK	22.25	474.7	1200	12288	23.181	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.4.aspcomp	IncrementalScheduling	0286-incremental_scheduling-40842-0.asp	20	complete	NOT_CHECKED	212.54	334.2	1200	12288	213.874	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.5.aspcomp	IncrementalScheduling	0005-incremental_scheduling-12000-0.asp	10	complete	OK	25.39	576.9	1200	12288	26.802	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.5.aspcomp	IncrementalScheduling	0324-incremental_scheduling-50520-0.asp	20	complete	NOT_CHECKED	362.26	661.2	1200	12288	364.634	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.6.aspcomp	IncrementalScheduling	0006-incremental_scheduling-12000-0.asp	10	complete	OK	18.54	479.3	1200	12288	19.734	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.6.aspcomp	IncrementalScheduling	0214-incremental_scheduling-28185-0.asp	1	out of time	ECODE_INVALID_1	1200.3	476.6	1200	12288	1201.588	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.7.aspcomp	IncrementalScheduling	0209-incremental_scheduling-28005-0.asp	1	out of time	ECODE_INVALID_1	1200.67	491.7	1200	12288	1202.462	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.7.aspcomp	IncrementalScheduling	0230-incremental_scheduling-27735-0.asp	20	complete	NOT_CHECKED	53.16	239.9	1200	12288	54.679	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.0.aspcomp	Labyrinth	0010-labyrinth-13-0.asp	10	complete	OK	5.78	63.6	1200	12288	6.119	T1	T1	solved	5	solved	5
idlv+-s	idlv+-s.competition.0.aspcomp	Labyrinth	0166-labyrinth-14-0.asp	10	complete	OK	44.73	72.6	1200	12288	46.046	T1	T1	solved	5	solved	5
idlv+-s	idlv+-s.competition.0.aspcomp	Labyrinth	0204-labyrinth-20-0.asp	1	out of time	ECODE_INVALID_1	1200.43	389.4	1200	12288	1201.393	T1	T1	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.1.aspcomp	Labyrinth	0044-labyrinth-23-0.asp	1	out of time	ECODE_INVALID_1	1200.4	462.7	1200	12288	1201.314	T1	T1	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.1.aspcomp	Labyrinth	0073-labyrinth-15-0.asp	10	complete	OK	41.33	68.5	1200	12288	42.804	T1	T1	solved	5	solved	5
idlv+-s	idlv+-s.competition.1.aspcomp	Labyrinth	0207-labyrinth-20-0.asp	1	out of time	ECODE_INVALID_1	1200.29	382.8	1200	12288	1201.631	T1	T1	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.2.aspcomp	Labyrinth	0048-labyrinth-15-0.asp	10	complete	OK	12.32	70.9	1200	12288	12.928	T1	T1	solved	5	solved	5
idlv+-s	idlv+-s.competition.2.aspcomp	Labyrinth	0210-labyrinth-20-0.asp	1	out of time	ECODE_INVALID_1	1200.59	381.2	1200	12288	1201.93	T1	T1	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.2.aspcomp	Labyrinth	0231-labyrinth-22-0.asp	1	out of time	ECODE_INVALID_1	1200.98	357.3	1200	12288	1202.193	T1	T1	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.3.aspcomp	Labyrinth	0063-labyrinth-16-0.asp	10	complete	OK	17.15	84.9	1200	12288	18.05	T1	T1	solved	5	solved	5
